,number,value,datetime_start,datetime_complete,duration,params_kernel_size,params_n_timesteps,params_window_size,state
0,0,0.5991319417953491,2024-07-29 20:31:48.407612,2024-07-29 20:34:00.546879,0 days 00:02:12.139267,"(1, 6)",30,45,COMPLETE
1,1,0.6168403029441833,2024-07-29 20:34:00.548605,2024-07-29 20:36:15.079999,0 days 00:02:14.531394,"(1, 8)",80,50,COMPLETE
2,2,0.6560763716697693,2024-07-29 20:36:15.081602,2024-07-29 20:38:22.548877,0 days 00:02:07.467275,"(1, 4)",30,20,COMPLETE
3,3,0.6776041388511658,2024-07-29 20:38:22.550577,2024-07-29 20:40:36.712450,0 days 00:02:14.161873,"(1, 6)",60,35,COMPLETE
4,4,0.6819444298744202,2024-07-29 20:40:36.714148,2024-07-29 20:42:52.288126,0 days 00:02:15.573978,"(1, 4)",80,10,COMPLETE
5,5,0.6029514074325562,2024-07-29 20:42:52.289898,2024-07-29 20:45:04.641574,0 days 00:02:12.351676,"(1, 10)",40,40,COMPLETE
6,6,0.4868055582046509,2024-07-29 20:45:04.643249,2024-07-29 20:47:22.151650,0 days 00:02:17.508401,"(1, 4)",90,20,COMPLETE
7,7,0.6776041388511658,2024-07-29 20:47:22.153382,2024-07-29 20:49:37.277337,0 days 00:02:15.123955,"(1, 8)",80,20,COMPLETE
8,8,0.6923611164093018,2024-07-29 20:49:37.278994,2024-07-29 20:51:52.530419,0 days 00:02:15.251425,"(1, 10)",80,5,COMPLETE
9,9,0.6553819179534912,2024-07-29 20:51:52.532176,2024-07-29 20:54:07.915310,0 days 00:02:15.383134,"(1, 6)",60,40,COMPLETE
10,10,0.6899305582046509,2024-07-29 20:54:07.917118,2024-07-29 20:56:29.682835,0 days 00:02:21.765717,"(1, 10)",100,5,COMPLETE
11,11,0.684374988079071,2024-07-29 20:56:29.684566,2024-07-29 20:58:47.231575,0 days 00:02:17.547009,"(1, 10)",100,5,COMPLETE
12,12,0.6930555701255798,2024-07-29 20:58:47.233273,2024-07-29 21:01:03.040282,0 days 00:02:15.807009,"(1, 10)",100,5,COMPLETE
13,13,0.6878471970558167,2024-07-29 21:01:03.042044,2024-07-29 21:03:18.361093,0 days 00:02:15.319049,"(1, 10)",70,15,COMPLETE
14,14,0.6769097447395325,2024-07-29 21:03:18.362779,2024-07-29 21:05:39.406900,0 days 00:02:21.044121,"(1, 10)",90,30,COMPLETE
15,15,0.6861110925674438,2024-07-29 21:05:39.408568,2024-07-29 21:07:56.539253,0 days 00:02:17.130685,"(1, 10)",100,10,COMPLETE
16,16,0.6902777552604675,2024-07-29 21:07:56.541098,2024-07-29 21:10:10.586520,0 days 00:02:14.045422,"(1, 10)",70,5,COMPLETE
17,17,0.6857638955116272,2024-07-29 21:10:10.588268,2024-07-29 21:12:25.544601,0 days 00:02:14.956333,"(1, 10)",90,25,COMPLETE
18,18,0.6850694417953491,2024-07-29 21:12:25.546276,2024-07-29 21:14:38.437836,0 days 00:02:12.891560,"(1, 8)",50,15,COMPLETE
19,19,0.6944444179534912,2024-07-29 21:14:38.439543,2024-07-29 21:16:55.565285,0 days 00:02:17.125742,"(1, 10)",90,10,COMPLETE
20,20,0.6892361044883728,2024-07-29 21:16:55.567051,2024-07-29 21:19:13.130620,0 days 00:02:17.563569,"(1, 10)",90,10,COMPLETE
21,21,0.690625011920929,2024-07-29 21:19:13.132277,2024-07-29 21:21:26.951700,0 days 00:02:13.819423,"(1, 10)",80,5,COMPLETE
22,22,0.6904513835906982,2024-07-29 21:21:26.953403,2024-07-29 21:23:41.061663,0 days 00:02:14.108260,"(1, 10)",100,15,COMPLETE
23,23,0.6942708492279053,2024-07-29 21:23:41.063589,2024-07-29 21:25:56.426084,0 days 00:02:15.362495,"(1, 10)",90,10,COMPLETE
24,24,0.6887152791023254,2024-07-29 21:25:56.427846,2024-07-29 21:28:14.161433,0 days 00:02:17.733587,"(1, 10)",90,10,COMPLETE
25,25,0.6869791746139526,2024-07-29 21:28:14.163382,2024-07-29 21:30:30.131032,0 days 00:02:15.967650,"(1, 10)",100,25,COMPLETE
26,26,0.6822916865348816,2024-07-29 21:30:30.132905,2024-07-29 21:32:47.731369,0 days 00:02:17.598464,"(1, 6)",70,15,COMPLETE
27,27,0.6927083134651184,2024-07-29 21:32:47.733202,2024-07-29 21:35:07.085437,0 days 00:02:19.352235,"(1, 8)",90,10,COMPLETE
28,28,0.682812511920929,2024-07-29 21:35:07.087201,2024-07-29 21:37:25.271327,0 days 00:02:18.184126,"(1, 4)",100,30,COMPLETE
29,29,0.6897569298744202,2024-07-29 21:37:25.273142,2024-07-29 21:39:36.445709,0 days 00:02:11.172567,"(1, 6)",90,20,COMPLETE
30,30,0.6923611164093018,2024-07-29 21:39:36.447379,2024-07-29 21:41:48.059316,0 days 00:02:11.611937,"(1, 10)",80,15,COMPLETE
31,31,0.6855902671813965,2024-07-29 21:41:48.061115,2024-07-29 21:44:01.657342,0 days 00:02:13.596227,"(1, 8)",90,10,COMPLETE
32,32,0.6840277910232544,2024-07-29 21:44:01.658982,2024-07-29 21:46:16.170521,0 days 00:02:14.511539,"(1, 8)",100,10,COMPLETE
33,33,0.6352430582046509,2024-07-29 21:46:16.172990,2024-07-29 21:48:27.139152,0 days 00:02:10.966162,"(1, 8)",90,50,COMPLETE
34,34,0.6869791746139526,2024-07-29 21:48:27.140834,2024-07-29 21:50:39.455819,0 days 00:02:12.314985,"(1, 8)",70,10,COMPLETE
35,35,0.6916666626930237,2024-07-29 21:50:39.457428,2024-07-29 21:52:51.986453,0 days 00:02:12.529025,"(1, 8)",80,5,COMPLETE
36,36,0.6611111164093018,2024-07-29 21:52:51.988321,2024-07-29 21:55:00.307539,0 days 00:02:08.319218,"(1, 4)",30,15,COMPLETE
37,37,0.6888889074325562,2024-07-29 21:55:00.309210,2024-07-29 21:57:10.661591,0 days 00:02:10.352381,"(1, 6)",60,5,COMPLETE
38,38,0.6876736283302307,2024-07-29 21:57:10.663874,2024-07-29 21:59:21.877854,0 days 00:02:11.213980,"(1, 8)",90,20,COMPLETE
39,39,0.5131944417953491,2024-07-29 21:59:21.879473,2024-07-29 22:01:34.003627,0 days 00:02:12.124154,"(1, 4)",100,10,COMPLETE
